aX,aY,aZ,gX,gY,gZ
0.962,0.083,0.048,0.854,3.052,4.333
0.955,0.088,0.049,0.671,1.892,4.211
0.955,0.091,0.051,0.854,1.16,3.54
0.958,0.097,0.067,1.038,1.16,3.235
0.946,0.083,0.08,2.258,2.197,2.38
0.946,0.055,0.072,2.563,2.869,2.441
0.958,0.076,0.07,1.831,1.099,4.089
0.976,0.093,0.071,2.625,-1.16,4.822
0.99,0.097,0.071,3.54,-1.526,3.723
0.99,0.099,0.079,4.15,-1.221,2.869
0.998,0.106,0.076,4.7,-0.122,2.563
1.004,0.109,0.058,3.479,1.038,2.014
1,0.114,0.037,2.258,2.136,1.77
0.991,0.108,0.038,1.404,2.014,1.343
0.993,0.104,0.045,0.122,1.099,0.977
0.993,0.104,0.055,-0.61,0.488,0.854
0.983,0.097,0.062,-0.488,0.305,0.244
0.989,0.095,0.069,-0.488,0.183,-0.183
0.99,0.095,0.075,-0.732,-0.488,0
0.977,0.082,0.08,-0.793,-0.549,-0.488
0.959,0.063,0.085,-0.427,-0.366,-0.732
0.954,0.069,0.074,0.183,-0.061,-0.305
0.962,0.084,0.061,1.16,-0.122,0.183
0.968,0.085,0.068,1.831,-0.366,-0.183
0.979,0.072,0.074,2.197,-0.793,-0.366
0.981,0.082,0.066,1.465,-0.977,0.549
0.991,0.088,0.069,0.854,-1.221,1.282
0.992,0.088,0.074,0.732,-0.671,1.038
0.991,0.092,0.062,0.671,0.488,0.977
0.988,0.088,0.045,0.793,1.282,0.488
0.986,0.079,0.054,0.244,-0.122,0.061
0.976,0.073,0.077,0.061,-2.258,-0.122
0.965,0.059,0.089,0.977,-3.052,-0.244
0.959,0.047,0.094,1.221,-2.93,0.305
0.953,0.055,0.093,1.099,-1.953,1.709
0.966,0.058,0.077,1.282,-0.854,2.686
0.979,0.078,0.068,0.61,-0.549,3.54
0.99,0.09,0.072,0.183,-1.038,3.54
0.988,0.09,0.074,0.244,-1.77,2.686
0.977,0.081,0.081,0.366,-2.441,1.953
0.96,0.077,0.079,0.916,-2.563,2.014
0.96,0.08,0.086,1.648,-2.197,2.075
,,,,,
2.879,0.13,0.091,-17.395,-83.252,54.321
3.111,0.152,0.269,-14.16,-72.754,50.903
3.181,0.256,0.415,-13.672,-50.842,54.382
3.168,0.438,0.508,-10.498,-25.269,54.504
3.162,0.631,0.609,-8.179,-6.531,49.927
2.941,0.642,0.759,-4.7,6.714,35.278
2.551,0.532,0.658,1.038,24.292,14.038
2.176,0.387,0.548,6.897,37.476,-1.099
1.78,0.341,0.513,10.559,43.213,-6.409
1.41,0.321,0.351,13.55,54.138,-12.878
1.061,0.287,0.095,16.357,65.857,-21.973
0.848,0.201,0.066,19.775,63.965,-27.527
0.515,0.221,-0.137,20.142,63.782,-26.855
0.429,0.176,-0.249,11.292,58.533,-24.17
0.409,0.142,-0.206,7.263,42.908,-22.522
