aX,aY,aZ,gX,gY,gZ
0.817,-0.314,0.029,20.386,-18.616,-3.235
0.875,-0.416,0.064,18.372,-20.264,-1.587
0.955,-0.423,0.13,13.794,-27.1,11.78
1.053,-0.448,0.158,12.634,-22.156,13.245
1.169,-0.342,0.189,17.456,-24.475,13.855
1.217,-0.303,0.2,25.513,-22.095,-1.038
1.206,-0.274,0.221,34.912,-16.907,-12.207
1.224,-0.21,0.194,41.382,-9.094,-13
1.213,-0.13,0.157,44.556,-1.099,-11.23
1.193,-0.137,0.124,48.828,4.517,-12.085
0.955,-0.117,0.223,53.345,-1.465,-15.32
1.116,-0.193,0.004,56.519,6.165,-21.667
1.079,-0.271,-0.028,71.594,29.602,-20.752
1.033,-0.359,-0.016,82.52,20.508,-10.681
1.082,-0.407,-0.043,85.266,22.461,4.822
1.191,-0.362,-0.13,90.332,26.001,15.869
1.196,-0.327,-0.223,93.262,17.822,14.526
1.181,-0.351,-0.257,92.285,7.568,9.827
1.141,-0.393,-0.253,94.299,2.38,6.897
1.132,-0.402,-0.23,101.013,-2.075,10.01
1.148,-0.357,-0.2,107.727,-8.179,18.982
1.164,-0.276,-0.125,110.901,-17.334,27.222
1.185,-0.185,-0.049,111.694,-28.931,29.175
1.103,-0.113,0.044,113.892,-38.208,26.184
1.023,-0.154,0.081,120.911,-43.945,26.184
1.031,-0.14,0.097,126.099,-49.377,34.058
1.051,-0.096,0.129,121.948,-54.565,46.875
1.053,-0.103,0.18,116.089,-55.786,58.167
1.022,-0.159,0.216,114.929,-52.429,65.063
1.001,-0.252,0.206,116.577,-46.143,69.641
0.961,-0.299,0.252,116.882,-41.321,73.853
0.862,-0.322,0.333,117.188,-39.917,75.989
0.829,-0.29,0.348,119.69,-43.701,76.782
0.827,-0.24,0.409,118.835,-49.683,73.853
0.765,-0.228,0.387,123.108,-50.476,71.228
0.719,-0.196,0.362,126.892,-47.852,71.411
0.719,-0.165,0.327,129.761,-43.274,72.754
0.677,-0.105,0.263,135.193,-39.49,73.059
0.666,0,0.184,138.733,-35.828,69.885
0.56,0.011,0.169,142.883,-35.461,58.472
0.458,-0.013,0.172,149.17,-40.1,48.035
0.402,-0.074,0.178,151.123,-47.852,47.607
0.449,-0.042,0.227,150.269,-54.871,55.908
0.577,0.031,0.265,145.935,-59.57,69.031
0.714,0.095,0.297,142.944,-60.547,81.299
0.824,0.11,0.304,143.982,-54.993,87.524
0.89,0.036,0.291,147.583,-46.57,85.876
0.898,-0.062,0.293,148.743,-39.001,78.308
0.969,-0.134,0.276,145.386,-31.067,67.383
0.894,-0.175,0.336,146.057,-27.893,55.725
0.797,-0.179,0.425,147.949,-20.813,45.959
0.77,-0.13,0.48,147.644,-14.587,45.105
0.79,-0.038,0.538,143.311,-15.503,49.805
0.826,0.099,0.574,137.695,-14.954,53.162
0.885,0.176,0.481,137.878,-8.057,49.5
0.862,0.25,0.384,138.428,0.977,40.161
0.781,0.245,0.286,136.23,11.23,30.701
0.674,0.136,0.234,133.667,23.071,23.987
0.677,0.089,0.262,125.549,26.794,26.611
0.661,-0.007,0.476,124.451,23.437,28.259
0.767,-0.096,0.635,132.019,23.926,30.212
0.876,-0.068,0.883,130.127,24.719,44.8
1.011,0.158,1.119,122.131,19.043,60.242
1.155,0.313,1.117,144.775,27.954,73.181
1.306,0.508,1.035,155.212,46.387,85.449
1.284,0.66,0.866,154.968,68.604,89.355
1.23,0.711,0.54,153.503,98.999,86.731
1.079,0.574,0.19,141.479,117.554,65.43
0.992,0.184,-0.047,115.295,115.54,28.687
0.834,-0.088,0.012,80.627,100.83,6.042
0.832,-0.206,0.258,49.133,71.533,10.681
1.017,-0.116,0.491,41.26,46.265,36.987
1.188,0.102,0.662,49.377,32.471,63.965
1.377,0.278,0.604,55.481,30.884,74.89
1.454,0.353,0.629,22.949,31.25,72.449
1.469,0.185,0.818,5.432,44.678,58.716
1.317,0.085,0.547,33.386,70.251,50.903
1.217,0.13,0.356,47.18,85.815,64.941
1.078,0.161,0.26,36.438,78.186,74.219
1.014,0.141,0.278,27.893,60.425,76.233
1.054,0.103,0.366,17.395,41.931,78.796
1.122,0.163,0.396,6.348,28.442,80.811
1.146,0.225,0.485,-5.737,19.714,73.547
,,,,,
1.15,-1.381,-0.176,-95.703,-14.771,-29.297
1.2,-1.287,-0.207,-75.256,-15.991,-17.273
1.246,-1.186,-0.187,-59.448,-10.803,-10.193
1.19,-1.142,-0.131,-49.683,-3.723,-7.263
1.052,-1.042,-0.154,-37.537,4.578,-4.517
0.898,-0.887,-0.185,-23.376,11.169,0.366
0.793,-0.728,-0.186,-13.245,11.536,5.188
0.713,-0.584,-0.156,-6.897,9.094,8.484
0.635,-0.454,-0.125,-0.61,7.629,10.01
0.578,-0.32,-0.129,5.493,6.714,9.644
0.555,-0.204,-0.142,12.329,5.432,8.728
0.588,-0.135,-0.136,16.174,3.418,5.31
0.638,-0.109,-0.098,14.648,1.526,0.061
0.715,-0.117,-0.041,6.592,-0.488,-2.502
0.799,-0.13,-0.001,2.136,-1.648,-2.075
0.896,-0.118,0.025,3.418,-0.854,-1.587
0.968,-0.076,0.034,5.859,1.831,-1.709
1.01,-0.055,0.031,5.676,4.517,-3.357
1.005,-0.06,0.025,6.714,9.338,-7.751
1.03,-0.071,0.021,8.606,11.658,-11.963
1.082,-0.101,0.037,7.935,10.437,-13.916
1.161,-0.111,0.075,5.005,9.827,-12.39
1.224,-0.113,0.068,4.272,12.634,-10.01
1.247,-0.133,0.029,4.15,17.273,-9.46
1.217,-0.123,-0.015,5.554,22.339,-8.484
1.155,-0.061,-0.041,8.667,25.879,-5.676
1.097,-0.066,-0.045,18.372,27.405,-2.441
1.063,-0.085,-0.219,38.94,27.1,1.892
1.083,-0.026,-0.165,35.645,20.569,10.193
1.103,-0.076,-0.087,10.986,10.559,11.719
1.086,-0.062,-0.056,3.906,8.057,13.367
1.091,-0.057,-0.073,4.333,9.033,15.076
1.109,-0.093,-0.069,3.967,7.69,15.32
1.105,-0.075,-0.053,2.441,5.005,14.16
1.064,-0.009,-0.065,2.014,4.639,13.916
1.045,0.035,-0.074,3.296,5.371,13.55
1.039,0.021,-0.066,2.808,4.822,11.719
1.027,-0.005,-0.052,0.61,3.357,10.681
1.031,-0.014,-0.038,-1.221,2.258,12.207
1.044,-0.02,-0.017,-2.869,3.418,12.39
0.997,-0.002,-0.018,-3.662,5.432,7.263
0.969,0.001,-0.052,-1.648,8.423,2.502
0.966,-0.019,-0.055,-0.549,8.911,-0.122
0.987,-0.046,-0.036,-1.16,7.202,-1.099
